k,a,b,c,points,hull_vertices,expected,status
1,3,4,5,16,16,16,OK
2,5,12,13,42,42,42,OK
3,7,24,25,80,80,80,OK
4,9,40,41,130,130,130,OK
5,11,60,61,192,192,192,OK
6,13,84,85,266,266,266,OK
7,15,112,113,352,352,352,OK
8,17,144,145,450,450,450,OK
9,19,180,181,560,560,560,OK
10,21,220,221,682,682,682,OK
11,23,264,265,816,816,816,OK
12,25,312,313,962,962,962,OK
13,27,364,365,1120,1120,1120,OK
14,29,420,421,1290,1290,1290,OK
15,31,480,481,1472,1472,1472,OK
16,33,544,545,1666,1666,1666,OK
17,35,612,613,1872,1872,1872,OK
18,37,684,685,2090,2090,2090,OK
19,39,760,761,2320,2320,2320,OK
20,41,840,841,2562,2562,2562,OK
