k,a,b,c,h,V,E,F,euler,expected_V,V_ok,euler_ok,face_profile,h_stable
1,3,4,5,0.2,16,38,24,2,16,True,True,"[(3, 21), (4, 2), (5, 1)]",True
1,3,4,5,0.5,16,38,24,2,16,True,True,"[(3, 21), (4, 2), (5, 1)]",True
1,3,4,5,0.8,16,38,24,2,16,True,True,"[(3, 21), (4, 2), (5, 1)]",True
2,5,12,13,0.2,42,106,66,2,42,True,True,"[(3, 62), (4, 2), (5, 1), (13, 1)]",True
2,5,12,13,0.5,42,106,66,2,42,True,True,"[(3, 62), (4, 2), (5, 1), (13, 1)]",True
2,5,12,13,0.8,42,106,66,2,42,True,True,"[(3, 62), (4, 2), (5, 1), (13, 1)]",True
3,7,24,25,0.2,80,206,128,2,80,True,True,"[(3, 124), (4, 2), (7, 1), (25, 1)]",True
3,7,24,25,0.5,80,206,128,2,80,True,True,"[(3, 124), (4, 2), (7, 1), (25, 1)]",True
3,7,24,25,0.8,80,206,128,2,80,True,True,"[(3, 124), (4, 2), (7, 1), (25, 1)]",True
4,9,40,41,0.2,130,338,210,2,130,True,True,"[(3, 206), (4, 2), (9, 1), (41, 1)]",True
4,9,40,41,0.5,130,338,210,2,130,True,True,"[(3, 206), (4, 2), (9, 1), (41, 1)]",True
4,9,40,41,0.8,130,338,210,2,130,True,True,"[(3, 206), (4, 2), (9, 1), (41, 1)]",True
5,11,60,61,0.2,192,502,312,2,192,True,True,"[(3, 308), (4, 2), (11, 1), (61, 1)]",True
5,11,60,61,0.5,192,502,312,2,192,True,True,"[(3, 308), (4, 2), (11, 1), (61, 1)]",True
5,11,60,61,0.8,192,502,312,2,192,True,True,"[(3, 308), (4, 2), (11, 1), (61, 1)]",True
6,13,84,85,0.2,266,698,434,2,266,True,True,"[(3, 430), (4, 2), (13, 1), (85, 1)]",True
6,13,84,85,0.5,266,698,434,2,266,True,True,"[(3, 430), (4, 2), (13, 1), (85, 1)]",True
6,13,84,85,0.8,266,698,434,2,266,True,True,"[(3, 430), (4, 2), (13, 1), (85, 1)]",True
7,15,112,113,0.2,352,926,576,2,352,True,True,"[(3, 572), (4, 2), (15, 1), (113, 1)]",True
7,15,112,113,0.5,352,926,576,2,352,True,True,"[(3, 572), (4, 2), (15, 1), (113, 1)]",True
7,15,112,113,0.8,352,926,576,2,352,True,True,"[(3, 572), (4, 2), (15, 1), (113, 1)]",True
8,17,144,145,0.2,450,1186,738,2,450,True,True,"[(3, 734), (4, 2), (17, 1), (145, 1)]",True
8,17,144,145,0.5,450,1186,738,2,450,True,True,"[(3, 734), (4, 2), (17, 1), (145, 1)]",True
8,17,144,145,0.8,450,1186,738,2,450,True,True,"[(3, 734), (4, 2), (17, 1), (145, 1)]",True
9,19,180,181,0.2,560,1478,920,2,560,True,True,"[(3, 916), (4, 2), (19, 1), (181, 1)]",True
9,19,180,181,0.5,560,1478,920,2,560,True,True,"[(3, 916), (4, 2), (19, 1), (181, 1)]",True
9,19,180,181,0.8,560,1478,920,2,560,True,True,"[(3, 916), (4, 2), (19, 1), (181, 1)]",True
10,21,220,221,0.2,682,1802,1122,2,682,True,True,"[(3, 1118), (4, 2), (21, 1), (221, 1)]",True
10,21,220,221,0.5,682,1802,1122,2,682,True,True,"[(3, 1118), (4, 2), (21, 1), (221, 1)]",True
10,21,220,221,0.8,682,1802,1122,2,682,True,True,"[(3, 1118), (4, 2), (21, 1), (221, 1)]",True
11,23,264,265,0.2,816,2158,1344,2,816,True,True,"[(3, 1340), (4, 2), (23, 1), (265, 1)]",True
11,23,264,265,0.5,816,2158,1344,2,816,True,True,"[(3, 1340), (4, 2), (23, 1), (265, 1)]",True
