m,n,a,b,c,e,points,hull_vertices,expected,identity,distinct,equivariant,status
2,1,3,4,5,1,22,22,22,True,True,True,OK
2,1,3,4,5,3,24,24,24,True,True,True,OK
2,1,3,4,5,7,28,28,28,True,True,True,OK
3,2,5,12,13,1,56,56,56,True,True,True,OK
3,2,5,12,13,5,60,60,60,True,True,True,OK
3,2,5,12,13,7,62,62,62,True,True,True,OK
4,3,7,24,25,1,106,106,106,True,True,True,OK
4,3,7,24,25,7,112,112,112,True,True,True,OK
4,3,7,24,25,7,112,112,112,True,True,True,OK
5,4,9,40,41,1,172,172,172,True,True,True,OK
5,4,9,40,41,9,180,180,180,True,True,True,OK
5,4,9,40,41,7,178,178,178,True,True,True,OK
6,5,11,60,61,1,254,254,254,True,True,True,OK
6,5,11,60,61,11,264,264,264,True,True,True,OK
6,5,11,60,61,7,260,260,260,True,True,True,OK
7,6,13,84,85,1,352,352,352,True,True,True,OK
7,6,13,84,85,13,364,364,364,True,True,True,OK
7,6,13,84,85,7,358,358,358,True,True,True,OK
8,7,15,112,113,1,466,466,466,True,True,True,OK
8,7,15,112,113,15,480,480,480,True,True,True,OK
8,7,15,112,113,7,472,472,472,True,True,True,OK
9,8,17,144,145,1,596,596,596,True,True,True,OK
9,8,17,144,145,17,612,612,612,True,True,True,OK
9,8,17,144,145,7,602,602,602,True,True,True,OK
10,9,19,180,181,1,742,742,742,True,True,True,OK
10,9,19,180,181,19,760,760,760,True,True,True,OK
10,9,19,180,181,7,748,748,748,True,True,True,OK
11,10,21,220,221,1,904,904,904,True,True,True,OK
11,10,21,220,221,21,924,924,924,True,True,True,OK
11,10,21,220,221,7,910,910,910,True,True,True,OK
12,11,23,264,265,1,1082,1082,1082,True,True,True,OK
12,11,23,264,265,23,1104,1104,1104,True,True,True,OK
12,11,23,264,265,7,1088,1088,1088,True,True,True,OK
13,12,25,312,313,1,1276,1276,1276,True,True,True,OK
13,12,25,312,313,25,1300,1300,1300,True,True,True,OK
13,12,25,312,313,7,1282,1282,1282,True,True,True,OK
3,1,8,6,10,1,41,41,41,True,True,True,OK
3,1,8,6,10,5,45,45,45,True,True,True,OK
4,1,15,8,17,1,66,66,66,True,True,True,OK
4,1,15,8,17,5,70,70,70,True,True,True,OK
4,3,7,24,25,1,106,106,106,True,True,True,OK
4,3,7,24,25,5,110,110,110,True,True,True,OK
5,2,21,20,29,1,120,120,120,True,True,True,OK
5,2,21,20,29,5,124,124,124,True,True,True,OK
6,1,35,12,37,1,134,134,134,True,True,True,OK
6,1,35,12,37,5,138,138,138,True,True,True,OK
7,4,33,56,65,1,276,276,276,True,True,True,OK
7,4,33,56,65,5,280,280,280,True,True,True,OK
8,5,39,80,89,1,378,378,378,True,True,True,OK
8,5,39,80,89,5,382,382,382,True,True,True,OK
